timestamp,container,cpu_percent,mem_usage,mem_percent
2026-04-26T09:59:36+07:00,target-nginx,0.00%,7.965MiB / 15.46GiB,0.05%
2026-04-26T09:59:36+07:00,target-ssh,0.04%,5.188MiB / 15.46GiB,0.03%
2026-04-26T09:59:36+07:00,sec-dashboard,0.00%,0B / 0B,0.00%
2026-04-26T09:59:36+07:00,nc-db,0.00%,0B / 0B,0.00%
2026-04-26T09:59:36+07:00,nc-redis,1.22%,3.738MiB / 15.46GiB,0.02%
2026-04-26T09:59:40+07:00,target-nginx,0.00%,7.398MiB / 15.46GiB,0.05%
2026-04-26T09:59:40+07:00,target-ssh,19.08%,5.324MiB / 15.46GiB,0.03%
2026-04-26T09:59:40+07:00,sec-dashboard,0.00%,0B / 0B,0.00%
2026-04-26T09:59:40+07:00,nc-db,0.00%,0B / 0B,0.00%
2026-04-26T09:59:40+07:00,nc-redis,1.31%,3.738MiB / 15.46GiB,0.02%
2026-04-26T09:59:44+07:00,target-nginx,0.00%,7.195MiB / 15.46GiB,0.05%
2026-04-26T09:59:44+07:00,target-ssh,0.35%,5.523MiB / 15.46GiB,0.03%
2026-04-26T09:59:44+07:00,sec-dashboard,0.00%,0B / 0B,0.00%
2026-04-26T09:59:44+07:00,nc-redis,1.33%,3.738MiB / 15.46GiB,0.02%
2026-04-26T09:59:48+07:00,target-nginx,0.00%,7.195MiB / 15.46GiB,0.05%
2026-04-26T09:59:48+07:00,target-ssh,5.94%,4.945MiB / 15.46GiB,0.03%
2026-04-26T09:59:48+07:00,sec-dashboard,0.00%,0B / 0B,0.00%
2026-04-26T09:59:48+07:00,nc-db,0.00%,0B / 0B,0.00%
2026-04-26T09:59:48+07:00,nc-redis,1.21%,3.738MiB / 15.46GiB,0.02%
2026-04-26T09:59:52+07:00,target-nginx,0.00%,7.195MiB / 15.46GiB,0.05%
2026-04-26T09:59:52+07:00,target-ssh,17.37%,5.844MiB / 15.46GiB,0.04%
2026-04-26T09:59:52+07:00,sec-dashboard,0.00%,0B / 0B,0.00%
2026-04-26T09:59:52+07:00,nc-db,0.00%,0B / 0B,0.00%
2026-04-26T09:59:52+07:00,nc-redis,1.46%,3.988MiB / 15.46GiB,0.03%
2026-04-26T09:59:56+07:00,target-nginx,0.00%,7.195MiB / 15.46GiB,0.05%
2026-04-26T09:59:56+07:00,target-ssh,0.37%,5.723MiB / 15.46GiB,0.04%
2026-04-26T09:59:56+07:00,sec-dashboard,0.00%,0B / 0B,0.00%
2026-04-26T09:59:56+07:00,nc-db,0.00%,0B / 0B,0.00%
2026-04-26T09:59:56+07:00,nc-redis,1.33%,3.988MiB / 15.46GiB,0.03%
2026-04-26T10:00:00+07:00,target-nginx,0.00%,7.195MiB / 15.46GiB,0.05%
2026-04-26T10:00:00+07:00,target-ssh,3.30%,4.449MiB / 15.46GiB,0.03%
2026-04-26T10:00:00+07:00,sec-dashboard,0.00%,0B / 0B,0.00%
2026-04-26T10:00:00+07:00,nc-db,0.00%,0B / 0B,0.00%
2026-04-26T10:00:00+07:00,nc-redis,1.26%,3.738MiB / 15.46GiB,0.02%
2026-04-26T10:00:04+07:00,target-nginx,0.00%,7.195MiB / 15.46GiB,0.05%
2026-04-26T10:00:04+07:00,target-ssh,16.92%,6.016MiB / 15.46GiB,0.04%
2026-04-26T10:00:04+07:00,sec-dashboard,0.00%,0B / 0B,0.00%
2026-04-26T10:00:04+07:00,nc-db,0.00%,0B / 0B,0.00%
2026-04-26T10:00:04+07:00,nc-redis,1.13%,3.734MiB / 15.46GiB,0.02%
