timestamp,container,cpu_percent,mem_usage,mem_percent
2026-04-26T10:04:04+07:00,sec-crowdsec,54.21%,31.58MiB / 15.46GiB,0.20%
2026-04-26T10:04:04+07:00,target-nginx,0.00%,7.504MiB / 15.46GiB,0.05%
2026-04-26T10:04:04+07:00,target-ssh,0.00%,2.52MiB / 15.46GiB,0.02%
2026-04-26T10:04:04+07:00,sec-dashboard,0.01%,23.1MiB / 15.46GiB,0.15%
2026-04-26T10:04:04+07:00,nc-db,0.00%,0B / 0B,0.00%
2026-04-26T10:04:04+07:00,nc-redis,1.12%,3.488MiB / 15.46GiB,0.02%
2026-04-26T10:04:08+07:00,sec-crowdsec,61.58%,23.2MiB / 15.46GiB,0.15%
2026-04-26T10:04:08+07:00,target-nginx,0.00%,7.195MiB / 15.46GiB,0.05%
2026-04-26T10:04:08+07:00,target-ssh,0.00%,2.52MiB / 15.46GiB,0.02%
2026-04-26T10:04:08+07:00,sec-dashboard,0.01%,23.1MiB / 15.46GiB,0.15%
2026-04-26T10:04:08+07:00,nc-db,0.00%,0B / 0B,0.00%
2026-04-26T10:04:08+07:00,nc-redis,1.51%,3.988MiB / 15.46GiB,0.03%
2026-04-26T10:04:12+07:00,sec-crowdsec,79.95%,46.59MiB / 15.46GiB,0.29%
2026-04-26T10:04:12+07:00,target-nginx,0.00%,7.195MiB / 15.46GiB,0.05%
2026-04-26T10:04:12+07:00,target-ssh,0.00%,2.52MiB / 15.46GiB,0.02%
2026-04-26T10:04:12+07:00,sec-dashboard,0.01%,23.1MiB / 15.46GiB,0.15%
2026-04-26T10:04:12+07:00,nc-db,0.00%,0B / 0B,0.00%
2026-04-26T10:04:12+07:00,nc-redis,0.48%,3.988MiB / 15.46GiB,0.03%
2026-04-26T10:04:16+07:00,sec-crowdsec,0.03%,45.54MiB / 15.46GiB,0.29%
2026-04-26T10:04:16+07:00,target-nginx,0.00%,7.195MiB / 15.46GiB,0.05%
2026-04-26T10:04:16+07:00,target-ssh,0.00%,2.52MiB / 15.46GiB,0.02%
2026-04-26T10:04:16+07:00,sec-dashboard,0.02%,23.1MiB / 15.46GiB,0.15%
2026-04-26T10:04:16+07:00,nc-db,0.00%,0B / 0B,0.00%
2026-04-26T10:04:16+07:00,nc-redis,1.50%,3.738MiB / 15.46GiB,0.02%
2026-04-26T10:04:20+07:00,sec-crowdsec,0.03%,45.54MiB / 15.46GiB,0.29%
2026-04-26T10:04:20+07:00,target-nginx,0.00%,7.195MiB / 15.46GiB,0.05%
2026-04-26T10:04:20+07:00,target-ssh,0.00%,2.52MiB / 15.46GiB,0.02%
2026-04-26T10:04:20+07:00,sec-dashboard,0.01%,23.1MiB / 15.46GiB,0.15%
2026-04-26T10:04:20+07:00,nc-db,0.00%,0B / 0B,0.00%
2026-04-26T10:04:20+07:00,nc-redis,1.42%,3.738MiB / 15.46GiB,0.02%
2026-04-26T10:04:24+07:00,sec-crowdsec,22.29%,35.79MiB / 15.46GiB,0.23%
2026-04-26T10:04:24+07:00,target-nginx,0.00%,7.195MiB / 15.46GiB,0.05%
2026-04-26T10:04:24+07:00,target-ssh,0.00%,2.52MiB / 15.46GiB,0.02%
2026-04-26T10:04:24+07:00,sec-dashboard,0.02%,23.1MiB / 15.46GiB,0.15%
2026-04-26T10:04:24+07:00,nc-db,0.00%,0B / 0B,0.00%
2026-04-26T10:04:24+07:00,nc-redis,1.25%,3.734MiB / 15.46GiB,0.02%
2026-04-26T10:04:29+07:00,sec-crowdsec,49.22%,36.6MiB / 15.46GiB,0.23%
2026-04-26T10:04:29+07:00,target-nginx,0.00%,7.195MiB / 15.46GiB,0.05%
2026-04-26T10:04:29+07:00,target-ssh,0.04%,5.164MiB / 15.46GiB,0.03%
2026-04-26T10:04:29+07:00,sec-dashboard,0.02%,23.1MiB / 15.46GiB,0.15%
2026-04-26T10:04:29+07:00,nc-db,0.00%,0B / 0B,0.00%
2026-04-26T10:04:29+07:00,nc-redis,1.26%,3.738MiB / 15.46GiB,0.02%
2026-04-26T10:04:33+07:00,sec-crowdsec,2.01%,37.32MiB / 15.46GiB,0.24%
2026-04-26T10:04:33+07:00,target-nginx,0.00%,7.195MiB / 15.46GiB,0.05%
2026-04-26T10:04:33+07:00,target-ssh,21.07%,4.664MiB / 15.46GiB,0.03%
2026-04-26T10:04:33+07:00,sec-dashboard,0.02%,23.1MiB / 15.46GiB,0.15%
2026-04-26T10:04:33+07:00,nc-db,0.00%,0B / 0B,0.00%
2026-04-26T10:04:33+07:00,nc-redis,1.45%,3.738MiB / 15.46GiB,0.02%
