timestamp,container,cpu_percent,mem_usage,mem_percent
2026-04-26T10:01:49+07:00,target-nginx,0.00%,7.23MiB / 15.46GiB,0.05%
2026-04-26T10:01:49+07:00,target-ssh,0.00%,2.52MiB / 15.46GiB,0.02%
2026-04-26T10:01:49+07:00,sec-fail2ban,38.52%,19.78MiB / 15.46GiB,0.12%
2026-04-26T10:01:49+07:00,sec-dashboard,0.00%,0B / 0B,0.00%
2026-04-26T10:01:49+07:00,nc-db,0.00%,0B / 0B,0.00%
2026-04-26T10:01:49+07:00,nc-redis,1.06%,3.988MiB / 15.46GiB,0.03%
2026-04-26T10:01:53+07:00,target-nginx,0.00%,7.199MiB / 15.46GiB,0.05%
2026-04-26T10:01:53+07:00,target-ssh,8.09%,5.254MiB / 15.46GiB,0.03%
2026-04-26T10:01:53+07:00,sec-fail2ban,35.40%,12.62MiB / 15.46GiB,0.08%
2026-04-26T10:01:53+07:00,sec-dashboard,0.00%,0B / 0B,0.00%
2026-04-26T10:01:53+07:00,nc-db,0.00%,0B / 0B,0.00%
2026-04-26T10:01:53+07:00,nc-redis,1.03%,3.738MiB / 15.46GiB,0.02%
2026-04-26T10:01:57+07:00,target-nginx,0.05%,7.453MiB / 15.46GiB,0.05%
2026-04-26T10:01:57+07:00,target-ssh,0.02%,4.668MiB / 15.46GiB,0.03%
2026-04-26T10:01:57+07:00,sec-fail2ban,16.19%,20.73MiB / 15.46GiB,0.13%
2026-04-26T10:01:57+07:00,sec-dashboard,0.00%,0B / 0B,0.00%
2026-04-26T10:01:57+07:00,nc-db,0.00%,0B / 0B,0.00%
2026-04-26T10:01:57+07:00,nc-redis,1.18%,3.488MiB / 15.46GiB,0.02%
2026-04-26T10:02:01+07:00,target-nginx,0.00%,7.203MiB / 15.46GiB,0.05%
2026-04-26T10:02:01+07:00,target-ssh,1.57%,4.668MiB / 15.46GiB,0.03%
2026-04-26T10:02:01+07:00,sec-fail2ban,31.21%,12.47MiB / 15.46GiB,0.08%
2026-04-26T10:02:01+07:00,sec-dashboard,0.00%,0B / 0B,0.00%
2026-04-26T10:02:01+07:00,nc-db,0.00%,0B / 0B,0.00%
2026-04-26T10:02:01+07:00,nc-redis,1.53%,3.988MiB / 15.46GiB,0.03%
2026-04-26T10:02:05+07:00,target-nginx,0.00%,7.203MiB / 15.46GiB,0.05%
2026-04-26T10:02:05+07:00,target-ssh,0.00%,4.934MiB / 15.46GiB,0.03%
2026-04-26T10:02:05+07:00,sec-fail2ban,55.72%,13.21MiB / 15.46GiB,0.08%
2026-04-26T10:02:05+07:00,sec-dashboard,0.00%,0B / 0B,0.00%
2026-04-26T10:02:05+07:00,nc-db,0.00%,0B / 0B,0.00%
2026-04-26T10:02:05+07:00,nc-redis,1.11%,3.738MiB / 15.46GiB,0.02%
2026-04-26T10:02:09+07:00,target-nginx,0.00%,7.203MiB / 15.46GiB,0.05%
2026-04-26T10:02:09+07:00,target-ssh,19.04%,5.734MiB / 15.46GiB,0.04%
2026-04-26T10:02:09+07:00,sec-fail2ban,39.40%,13.28MiB / 15.46GiB,0.08%
2026-04-26T10:02:09+07:00,sec-dashboard,0.00%,0B / 0B,0.00%
2026-04-26T10:02:09+07:00,nc-db,0.00%,0B / 0B,0.00%
2026-04-26T10:02:09+07:00,nc-redis,1.12%,3.988MiB / 15.46GiB,0.03%
2026-04-26T10:02:13+07:00,target-nginx,0.00%,7.203MiB / 15.46GiB,0.05%
2026-04-26T10:02:13+07:00,target-ssh,0.05%,4.699MiB / 15.46GiB,0.03%
2026-04-26T10:02:13+07:00,sec-fail2ban,33.44%,12.48MiB / 15.46GiB,0.08%
2026-04-26T10:02:13+07:00,sec-dashboard,0.00%,0B / 0B,0.00%
2026-04-26T10:02:13+07:00,nc-db,0.00%,0B / 0B,0.00%
2026-04-26T10:02:13+07:00,nc-redis,1.14%,3.988MiB / 15.46GiB,0.03%
2026-04-26T10:02:17+07:00,target-nginx,0.00%,7.203MiB / 15.46GiB,0.05%
2026-04-26T10:02:17+07:00,target-ssh,5.65%,7.363MiB / 15.46GiB,0.05%
2026-04-26T10:02:17+07:00,sec-fail2ban,28.00%,12.33MiB / 15.46GiB,0.08%
2026-04-26T10:02:17+07:00,sec-dashboard,0.00%,0B / 0B,0.00%
2026-04-26T10:02:17+07:00,nc-db,0.00%,0B / 0B,0.00%
2026-04-26T10:02:17+07:00,nc-redis,1.22%,3.738MiB / 15.46GiB,0.02%
